plan_code,line_number,item_code,unit_code,target_quantity,required_on,notes
plan_2026_0212,1,fg_0023,piece,24521,2026-05-19,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0212,2,fg_0024,piece,25521,2026-05-20,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0213,1,fg_0025,piece,24732,2026-06-22,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0213,2,fg_0026,piece,25732,2026-06-23,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0214,1,fg_0027,piece,24943,2026-07-25,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0214,2,fg_0028,piece,25943,2026-07-26,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0215,1,fg_0029,piece,25154,2026-08-08,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0215,2,fg_0030,piece,26154,2026-08-09,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0216,1,fg_0031,piece,25365,2026-09-11,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0216,2,fg_0032,piece,26365,2026-09-12,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0217,1,fg_0033,piece,25576,2026-01-14,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0217,2,fg_0034,piece,26576,2026-01-15,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0218,1,fg_0035,piece,25787,2026-02-17,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0218,2,fg_0036,piece,26787,2026-02-18,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0219,1,fg_0037,piece,25998,2026-03-20,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0219,2,fg_0038,piece,26998,2026-03-21,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0220,1,fg_0039,piece,26209,2026-04-23,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0220,2,fg_0040,piece,27209,2026-04-24,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0221,1,fg_0041,piece,26420,2026-05-06,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0221,2,fg_0042,piece,27420,2026-05-07,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0222,1,fg_0043,piece,26631,2026-06-09,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0222,2,fg_0044,piece,27631,2026-06-10,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0223,1,fg_0045,piece,26842,2026-07-12,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0223,2,fg_0046,piece,27842,2026-07-13,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0224,1,fg_0047,piece,27053,2026-08-15,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0224,2,fg_0048,piece,28053,2026-08-16,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0225,1,fg_0049,piece,27264,2026-09-18,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0225,2,fg_0050,piece,28264,2026-09-19,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0226,1,fg_0051,piece,27475,2026-01-21,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0226,2,fg_0052,piece,28475,2026-01-22,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0227,1,fg_0053,piece,27686,2026-02-24,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0227,2,fg_0054,piece,28686,2026-02-25,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0228,1,fg_0055,piece,27897,2026-03-07,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0228,2,fg_0056,piece,28897,2026-03-08,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0229,1,fg_0057,piece,28108,2026-04-10,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0229,2,fg_0058,piece,29108,2026-04-11,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0230,1,fg_0059,piece,28319,2026-05-13,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0230,2,fg_0060,piece,29319,2026-05-14,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0231,1,fg_0061,piece,28530,2026-06-16,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0231,2,fg_0062,piece,29530,2026-06-17,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0232,1,fg_0063,piece,28741,2026-07-19,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0232,2,fg_0064,piece,29741,2026-07-20,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0233,1,fg_0065,piece,28952,2026-08-22,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0233,2,fg_0066,piece,29952,2026-08-23,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0234,1,fg_0067,piece,29163,2026-09-25,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0234,2,fg_0068,piece,30163,2026-09-26,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0235,1,fg_0069,piece,29374,2026-01-08,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0235,2,fg_0070,piece,30374,2026-01-09,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0236,1,fg_0071,piece,29585,2026-02-11,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0236,2,fg_0072,piece,30585,2026-02-12,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0237,1,fg_0073,piece,29796,2026-03-14,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0237,2,fg_0074,piece,30796,2026-03-15,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0238,1,fg_0075,piece,30007,2026-04-17,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0238,2,fg_0076,piece,31007,2026-04-18,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0239,1,fg_0077,piece,30218,2026-05-20,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0239,2,fg_0078,piece,31218,2026-05-21,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0240,1,fg_0079,piece,30429,2026-06-23,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0240,2,fg_0080,piece,31429,2026-06-24,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0241,1,fg_0081,piece,30640,2026-07-06,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0241,2,fg_0082,piece,31640,2026-07-07,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0242,1,fg_0083,piece,30851,2026-08-09,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0242,2,fg_0084,piece,31851,2026-08-10,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0243,1,fg_0085,piece,31062,2026-09-12,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0243,2,fg_0086,piece,32062,2026-09-13,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0244,1,fg_0087,piece,31273,2026-01-15,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0244,2,fg_0088,piece,32273,2026-01-16,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0245,1,fg_0089,piece,31484,2026-02-18,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0245,2,fg_0090,piece,32484,2026-02-19,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0246,1,fg_0091,piece,31695,2026-03-21,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0246,2,fg_0092,piece,32695,2026-03-22,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0247,1,fg_0093,piece,31906,2026-04-24,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0247,2,fg_0094,piece,32906,2026-04-25,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0248,1,fg_0095,piece,32117,2026-05-07,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0248,2,fg_0096,piece,33117,2026-05-08,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0249,1,fg_0097,piece,32328,2026-06-10,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0249,2,fg_0098,piece,33328,2026-06-11,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0250,1,fg_0099,piece,32539,2026-07-13,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
plan_2026_0250,2,fg_0100,piece,33539,2026-07-14,Sản lượng kế hoạch theo nhu cầu phân phối và lịch dây chuyền.
